1,	2
1,	11
2,	3
2,	11
2,	28
3,	4
3,	19
3,	22
3,	28
4,	5
4,	22
4,	30
5,	14
5,	30
6,	7
6,	13
6,	25
7,	8
7,	25
7,	32
8,	9
8,	27
8,	32
9,	10
9,	27
9,	31
10,	16
10,	31
11,	12
11,	24
11,	28
12,	13
12,	24
12,	26
13,	25
13,	26
14,	15
14,	20
14,	30
15,	16
15,	18
15,	20
16,	18
16,	31
17,	18
17,	20
17,	21
17,	23
17,	27
17,	29
18,	20
18,	27
18,	31
19,	22
19,	23
19,	28
19,	29
20,	22
20,	29
20,	30
21,	23
21,	25
21,	26
21,	27
21,	32
22,	29
22,	30
23,	24
23,	26
23,	28
23,	29
24,	26
24,	28
25,	26
25,	32
27,	31
27,	32
